"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN","Jan-Feb","Mar-May","Jun-Sep","Oct-Dec"
"1937","6.3","50.6","19","56.3","58","162.2","336.2","208.2","174","94.59999999999999","20.3","18.9","1204.4","56.9","133.2","880.6","133.8"
"1938","29.9","30.7","33.4","34.2","70.90000000000001","273.4","300.2","249.7","171.6","75.40000000000001","16.2","5","1290.5","60.6","138.5","994.8","96.59999999999999"
"1939","13.3","32.1","30.6","40.7","40.6","172.9","272.4","231.5","154.9","91.2","29.6","1.7","1111.6","45.5","111.9","831.8","122.5"
"1940","13","25.8","47.7","26.9","80.8","173.8","308.4","278.1","125.5","63","40.9","17.4","1201.3","38.8","155.4","885.8","121.3"
"1941","22.9","16.4","20.4","31.5","81","171.8","238.7","228.4","154","62.1","26.5","20.3","1073.9","39.3","132.8","792.8","108.9"
"1942","21.4","46","20.6","44.7","63.7","191.5","339.6","287","182.5","34.5","17.7","23.5","1272.9","67.5","129","1000.7","75.8"
"1943","56.8","9.800000000000001","32.5","47.9","94.3","167.8","308.9","228.4","211.4","89","17.1","5.2","1269.2","66.59999999999999","174.7","916.5","111.3"
"1944","27.6","37.8","54.9","31.9","61","155.6","349.1","287","156.2","92.3","29.4","15.6","1298.5","65.40000000000001","147.8","948","137.4"
"1945","34.2","10.2","20.1","47.1","53.6","159.1","333.3","246.7","214.5","80.59999999999999","17.9","4.9","1222","44.3","120.8","953.5","103.4"
"1946","4.4","19.1","24.5","48","71.3","214","318.3","296.3","145","84.40000000000001","76","35.8","1337.2","23.5","143.9","973.6","196.2"
"1947","22.4","18.3","26","39.1","55.9","130.1","314.4","290.4","240","69.8","7.2","22.6","1236.3","40.8","121","974.9","99.59999999999999"
"1948","25.2","29","39.5","42.5","91.3","164.1","347.7","282.7","178","61.2","71.09999999999999","10","1342.2","54.2","173.3","972.4","142.3"
"1949","12.6","28.8","24.1","53","89.3","164.3","316.8","243.2","227","95.09999999999999","10.6","4.7","1269.6","41.4","166.4","951.3","110.5"
"1950","35.4","25.4","36.7","28.7","49.4","135.7","331.6","235.6","202.6","57.7","27.5","7.9","1174.2","60.8","114.8","905.5","93.09999999999999"
"1951","15.7","12.1","44.4","54.4","59.4","163.3","252.7","222.8","124.6","73.90000000000001","31.3","5.8","1060.6","27.8","158.3","763.4","111.1"
"1952","10.5","19.8","37.4","32.4","69.7","165.6","286.6","256.6","120","79.59999999999999","9.199999999999999","22.5","1110.1","30.3","139.5","828.9","111.3"
"1953","30.2","10.6","25.3","38.3","47.1","162.2","323.1","299.2","179.9","85.8","12.3","8","1222.1","40.8","110.7","964.4","106.1"
"1954","37.6","37.2","17.1","22.8","53.9","145.5","297.2","232","246.7","73.8","3.6","13.9","1181.4","74.90000000000001","93.90000000000001","921.3","91.3"
"1955","20.8","4.1","21.3","30.6","72.59999999999999","177.7","236.8","313.8","215.7","146.3","26.4","9.300000000000001","1275.4","24.9","124.5","944","182"
"1956","17","11.1","31.5","28.1","85.5","211","354.1","254.3","163.9","150.1","44","11.9","1362.6","28.1","145","983.3","206.1"
"1957","31.1","10.9","24.2","39.5","71.2","153.2","300.8","265.4","131.7","64","28.6","11.3","1131.9","42","134.9","851.1","103.8"
"1958","12.4","16.5","19.1","36.9","80.5","123.7","316.9","324.9","225.7","114.7","30","10.9","1312.3","28.9","136.5","991.3","155.7"
"1959","31.8","23.8","21.3","25.9","75.3","169.8","375.5","265.1","237.3","119.7","26","5.3","1376.9","55.6","122.6","1047.7","151.1"
"1960","13.8","2.7","35.2","20","57.7","157.3","320","252.9","184.7","68.5","33.7","8.300000000000001","1154.8","16.5","112.8","914.9","110.5"
"1961","26.1","34.8","26","28.5","77.59999999999999","192.9","336.6","287.6","234.9","122.2","21.7","10.4","1399.2","60.9","132.1","1052","154.2"
"1962","12.6","21.6","16","43.6","70.8","137.1","281.6","276.9","211","78.40000000000001","18.3","29.9","1198","34.3","130.4","906.6","126.7"
"1963","6.8","9.800000000000001","41.7","50.6","60.9","168","258.6","316.7","164.9","99.09999999999999","28.4","15.5","1220.9","16.6","153.1","908.2","142.9"
"1964","18.6","14.1","19","40","52.1","177.2","345.7","273.7","200.4","67.40000000000001","22.8","13.3","1244.4","32.7","111.1","997","103.5"
"1965","11.8","28.1","26.7","45.1","52.7","116.1","270.1","192.8","129.5","34","18.2","22.2","947.4","39.9","124.6","708.5","74.40000000000001"
"1966","13.1","25.4","20.3","30.6","57.2","178.8","252.5","212.5","143.9","56.1","51","16.7","1058","38.5","108","787.8","123.7"
"1967","11.1","14.2","63.3","29.5","42.8","144","305.6","264.3","170.3","40.6","12.1","56.1","1154","25.3","135.6","884.2","108.9"
"1968","29.4","19.8","27.5","32.6","46.7","149.6","309.9","212.8","129.5","67.09999999999999","21.8","12.6","1059.3","49.2","106.8","801.7","101.6"
"1969","12.7","14.5","20.1","39.7","63.4","130.2","317.8","273.4","172.7","55","35.8","12.7","1147.8","27.2","123.1","894","103.4"
"1970","23.2","27.3","25.9","29.2","69.7","215.9","245.6","313","212.7","75.3","15.7","1.6","1255","50.5","124.8","987.1","92.59999999999999"
"1971","16.1","23.6","10.8","52.8","75","229.9","267.2","267.3","146.5","99.90000000000001","15.9","12","1216.9","39.7","138.6","910.8","127.8"
"1972","10.3","27.6","21.6","37.1","55.3","123.3","204","219.5","127.5","65.7","31.4","23.7","947.1","37.8","114","674.3","120.9"
"1973","21","21.8","21.2","27.5","56.5","149.9","277.4","311","182.1","114.6","18.9","17.7","1219.5","42.8","105.2","920.3","151.2"
"1974","16.1","12.9","20.5","33.7","64.2","122","283.6","232.5","145.3","101.6","10.7","12.1","1055.3","29.1","118.4","783.4","124.4"
"1975","15.4","20.8","28.7","28.3","50.2","175.6","310.7","292.5","224.6","121.9","22.8","3.3","1294.8","36.1","107.3","1003.4","148"
"1976","11.5","24.5","25.5","36.3","45.4","160.3","294.1","294","144.2","33","55","7.6","1131.6","36","107.3","892.7","95.59999999999999"
"1977","21","10.2","14.6","68.3","84.40000000000001","187.2","323.4","245.4","147.8","85.59999999999999","65.8","16.1","1269.7","31.2","167.3","903.8","167.4"
"1978","12.3","27","44.2","33.1","60.2","208.8","290","282","161.9","49.1","49.9","18.8","1237.2","39.3","137.4","942.7","117.8"
"1979","20.9","35","28.9","21.2","54.2","140.5","239.6","210.6","136.8","51.8","76.09999999999999","14.4","1030.2","55.9","104.3","727.6","142.4"
"1980","12.8","22.3","32.5","34.6","55.3","227.8","295","263.8","145.7","49.3","24.2","19","1182.3","35.1","122.5","932.4","92.40000000000001"
"1981","29.3","20.4","48","37.3","67.09999999999999","151.3","309.1","237","184.5","45.1","27.4","14","1170.7","49.7","152.4","882","86.59999999999999"
"1982","23.8","24.2","45.7","49.8","59","137.8","230.8","276.9","124.9","51.7","46","13.9","1084.4","48","154.5","770.4","111.5"
"1983","18.5","23.3","43.4","57","70.09999999999999","150.8","282.2","304.3","251.6","85.90000000000001","10.8","22.9","1320.9","41.7","170.5","988.9","119.7"
"1984","19","35.9","22.8","45.3","60.4","192.3","291.9","256.5","144.6","61","15.7","15.3","1160.8","54.9","128.5","885.4","92"
"1985","23.2","9.9","20.1","39.5","63","156.5","290.1","231.7","149.6","114.1","18.8","28.4","1144.9","33.1","122.6","827.9","161.4"
"1986","15.5","36.6","29.9","50","49.4","182.6","264.2","228.3","128.4","74.7","49.6","28.4","1137.6","52","129.3","803.6","152.7"
"1987","13.2","23.8","28.8","43.9","67","133.9","223.2","242.1","152.2","94.40000000000001","44.4","21.9","1088.9","37","139.8","751.4","160.7"
"1988","10.4","28.7","53.7","41.7","70.40000000000001","161.8","374.8","295.3","217.7","53.6","16.2","17.8","1342.1","39.1","165.8","1049.6","87.7"
"1989","15.4","15.3","28.8","34.6","57.5","184.7","302.3","236.2","163.1","51.9","20.3","17.2","1127.4","30.7","121","886.3","89.40000000000001"
"1990","16","44.2","54","43.8","112.9","191.3","282.9","293.6","197.4","104.1","30.2","31","1401.4","60.3","210.7","965.2","165.3"
"1991","14.3","28.1","27.8","51.7","68.90000000000001","184.7","279.2","268.1","140.7","61.8","30.2","14.7","1170.2","42.3","148.5","872.7","106.8"
"1992","16","16.5","24.8","26.1","59.3","139.7","262.5","274","171.7","64.7","41.6","5.6","1102.7","32.5","110.2","848","112"
"1993","18.2","25.6","41.6","27","71.3","172.1","305.4","203.2","208.5","87.90000000000001","30.5","16.5","1207.8","43.8","139.9","889.3","134.9"
"1994","25","27.9","25.2","45.9","53.1","205.7","350","282.2","149.4","82.8","25.5","22.6","1295.3","52.9","124.1","987.4","130.9"
"1995","31.3","29.4","28.3","32.4","82.40000000000001","143.3","323.4","269","179","78","36.8","9.199999999999999","1242.4","60.7","143","914.7","123.9"
"1996","22.9","23.2","32.1","31.4","56","185.7","262.1","292.4","146.1","100.5","13.6","16.9","1182.9","46.1","119.6","886.2","130.9"
"1997","14.3","10.4","30.3","46","48.6","171.7","281.5","261.9","151.4","61.1","57.6","48.3","1183.1","24.7","124.8","866.5","167"
"1998","16.4","28.2","39.1","36.3","49.2","163.9","278.4","243.8","196.5","107.4","39.3","10.3","1208.8","44.6","124.6","882.6","157"
"1999","13.7","11.2","8.800000000000001","19.3","94.90000000000001","169.9","261.7","213.2","183","117.2","20","3.7","1116.6","24.9","122.9","827.9","141"
"2000","18.4","28.2","17.9","34.7","71.59999999999999","179","263.5","221.1","134.5","41.9","14.6","10","1035.4","46.6","124.3","798.1","66.40000000000001"
"2001","7.3","8.800000000000001","18.8","43.7","67.2","219.1","279.7","209.4","114.2","107.5","22.5","7.1","1105.2","16.1","129.7","822.4","137.1"
"2002","15.7","20.3","21.5","38.3","63.3","180.1","146.2","262.5","151.2","59.5","18.2","5.1","981.9","36","123.1","740.1","82.8"
"2003","7.6","45.6","33.3","35.4","39.1","184.5","316.7","255.3","191.4","100.6","15.5","18.6","1243.6","53.2","107.8","947.9","134.8"
"2004","25.7","8.800000000000001","11.4","59","88.90000000000001","158.7","242.1","248.7","124.6","92.2","15.8","4.6","1080.5","34.5","159.2","774.1","112.6"
"2005","28.1","41.8","42.5","37.7","46.1","143.2","334.1","190.1","206.9","99.3","27.2","11.2","1208.3","69.90000000000001","126.3","874.4","137.7"
"2006","17.7","11.9","35.6","32.7","75","141.8","287.6","281.3","178.6","51.8","34.6","13.1","1161.6","29.6","143.2","889.3","99.5"
"2007","1.7","36.7","35.2","30.6","46.8","192.5","286.2","257.4","206.8","55.7","14.4","15.3","1179.3","38.3","112.6","943","85.40000000000001"
"2008","18.4","19.3","41.2","29.5","43.7","202","245","265.8","165.1","51.6","25.5","11","1118","37.7","114.5","877.8","88.09999999999999"
"2009","12","12","14.2","25.1","56","85.7","280.7","192.5","139.4","71.40000000000001","53.7","11.1","953.7","24","95.3","698.3","136.1"
"2010","7.5","17","14","39","73.8","138.1","300.7","274.7","197.7","69","61.4","22.7","1215.5","24.5","126.8","911.1","153.2"
"2011","6.8","25.8","22.4","41.1","53.1","183.5","246","284.9","186.9","38.1","20.1","7.6","1116.3","32.6","116.6","901.3","65.8"
"2012","26.5","12.7","11.3","47.5","31.7","117.8","250.2","262.4","193.5","58.7","30.7","11.7","1054.7","39.2","90.5","823.9","101.1"
"2013","11.3","40.1","15.7","30.4","57.8","219.8","310","254.7","152.7","129.4","14","6.7","1092.5","51.4","103.8","937.2","150.1"
